user_id,buddy_id,escalation_priority,share_level,preferred_alert_window
U001,B001,1,Mood+Sleep+Spending anomalies,22:00-08:00
U001,B002,2,Mood+Sleep anomalies,08:00-22:00
U001,B003,3,Workload/Burnout flags only,09:00-19:00
U002,B005,1,Health + missed check-ins + fall-risk cues,Any
U002,B004,2,Health summary + alerts + engagement status,US daytime
U002,B006,3,Social isolation nudges only,10:00-18:00
U003,B007,1,Sleep/Stress/Alcohol + safety concerns,Any
U003,B009,2,Contracts/tasks risks (no personal health details),09:00-21:00
U003,B008,3,Finance deadlines/cashflow warnings only,09:00-18:00
U003,B010,4,Emotional support nudges only,18:00-23:00
U004,B011,1,Bullying risk + mood dips + missed meals/sleep,Any
U004,B012,2,Daily check-in accountability,17:00-23:00
U004,B013,3,Escalations only (if user consents),09:00-19:00
